Air	- - -	0.240	1.293	1.00	
Ammonia	NH<sub>3</sub>	0.492	0.760	0.73	
Argon	Ar	0.1244	1.782	1.39	
Arsine	AsH<sub>3</sub>	0.1167	3.478	0.67	
Boron Trichloride	BCl<sub>3</sub>	0.1279	5.227	0.41	
Bromine	Br<sub>2</sub>	0.0539	7.130	0.81	
Carbon Dioxide	CO<sub>2</sub>	0.2016	1.964	0.70*	
Carbon Monoxide	CO	0.2488	1.250	1.00	
Carbon Tetrachloride	CCl<sub>4</sub>	0.1655	6.86	0.31	
Carbon Tetraflouride (Freon - 14)	CF<sub>4</sub>	0.1654	3.926	0.42	
Chlorine	Cl<sub>2</sub>	0.1144	3.163	0.86	
Chlorodifluoromethane (Freon - 22)	CHClF<sub>2</sub>	0.1544	3.858	0.46	
Chloropentafluoroethane (Freon - 115)	C<sub>2</sub>ClF<sub>5</sub>	0.164	6.892	0.24	
Chlorotrifluoromethane (Freon - 13)	CClF<sub>3</sub>	0.153	4.660	0.38	
Cyanogen	C<sub>2</sub>N<sub>2</sub>	0.2613	2.322	0.61	
Deuterium	D<sub>2</sub>	1.722	0.1799	1.00	
Diborane	B<sub>2</sub>H<sub>6</sub>	0.508	1.235	0.44	
Dibromodifluoromethane	CBr<sub>2</sub>F<sub>2</sub>	0.15	9.362	0.19	
Dichlorodifluoromethane (Freon - 12)	CCl<sub>2</sub>F<sub>2</sub>	0.1432	5.395	0.35	
Dichlorofluoromethane (Freon - 21)	CHCl<sub>2</sub>F	0.140	4.592	0.42	
Dichloromethysilane	(CH<sub>3</sub>)<sub>2</sub>SiCl<sub>2</sub>	0.1882	5.758	0.25	
Dichlorosilane	SiH<sub>2</sub>Cl<sub>2</sub>	0.150	4.506	0.40	
1,2-Dichlorotetrafluoroethane (Freon - 114)	C<sub>2</sub>Cl<sub>2</sub>F<sub>4</sub>	0.160	7.626	0.22	
1,1-Difluoroethylene (Freon - 1132A)	C<sub>2</sub>H<sub>2</sub>F<sub>2</sub>	0.224	2.857	0.43	
2,2-Dimethylpropane	C<sub>5</sub>H<sub>12</sub>	0.3914	3.219	0.22	
Ethane	C<sub>2</sub>H<sub>6</sub>	0.4097	1.342	0.50	
Fluorine	F<sub>2</sub>	0.1873	1.695	0.98	
Fluoroform (Freon - 23)	CHF<sub>3</sub>	0.176	3.127	0.50	
Freon - 11	CCl<sub>3</sub>F	0.1357	6.129	0.33	
Freon - 12	CCl<sub>2</sub>F<sub>2</sub>	0.1432	5.395	0.35	
Freon - 13	CClF<sub>3</sub>	0.153	4.660	0.38	
Freon - 13 B1	CBrF<sub>3</sub>	0.1113	6.644	0.37	
Freon - 14	CF<sub>4</sub>	0.1654	3.926	0.42	
Freon - 21	CHCl<sub>2</sub>F	0.140	4.592	0.42	
Freon - 22	CHClF<sub>2</sub>	0.1544	3.858	0.46	
Freon - 23	CHF<sub>3</sub>	0.176	3.127	0.50	
Freon - 113	C<sub>2</sub>Cl<sub>2</sub>F<sub>3</sub>	0.161	8.360	0.20	
Freon - 114	C<sub>2</sub>Cl<sub>2</sub>F<sub>4</sub>	0.160	7.626	0.22	
Freon - 115	C<sub>2</sub>ClF<sub>5</sub>	0.164	6.892	0.24	
Freon - 116	C<sub>2</sub>F<sub>6</sub>	0.1843	6.157	0.24	
Freon - C318	C<sub>4</sub>F<sub>8</sub>	0.1866	8.93	0.164	
Freon - 1132A	C<sub>2</sub>H<sub>2</sub>F<sub>2</sub>	0.224	2.857	0.43	
Helium	He	1.241	0.1786	1.45	
Hexafluoroethane (Freon - 116)	C<sub>2</sub>F<sub>6</sub>	0.1843	6.157	0.24	
Hydrogen	H<sub>2</sub>	3.419	0.0899	1.01	
Hydrogen Bromide	HBr	0.0861	3.610	1.00	
Hydrogen Chloride	HCl	0.1912	1.627	1.00	
Hydrogen Fluoride	HF	0.3479	0.893	1.00	
Isobutylene	C<sub>4</sub>H<sub>8</sub>	0.3701	2.503	0.29	
Krypton	Kr	0.0593	3.739	1.543	
Methane	CH<sub>4</sub>	0.5328	0.715	0.72	
Methyl Fluoride	CH<sub>3</sub>F	0.3221	1.518	0.56	
Molybdenum Hexafluoride	MoF<sub>6</sub>	0.1373	9.366	0.21	
Neon	Ne	0.246	0.900	1.46	
Nitric Oxide	NO	0.2328	1.339	0.99	
Nitrogen	N<sub>2</sub>	0.2485	1.250	1.00	
Nitrogen Dioxide	NO<sub>2</sub>	0.1933	2.052	**	
Nitrogen Trifluoride	NF<sub>3</sub>	0.1797	3.168	0.48	
Nitrous Oxide	N<sub>2</sub>O	0.2088	1.964	0.71	
Octafluorocyclobutane (Freon - C318)	C<sub>4</sub>F<sub>8</sub>	0.1866	8.93	0.164	
Oxygen	O<sub>2</sub>	0.2193	1.427	0.993	
Pentane	C<sub>5</sub>H<sub>12</sub>	0.398	3.219	0.21	
Perfluoropropane	C<sub>3</sub>F<sub>8</sub>	0.194	8.388	0.17	
Phosgene	COCl<sub>2</sub>	0.1394	4.418	0.44	
Phosphine	PH<sub>3</sub>	0.2374	1.517	0.76	
Propane	C<sub>3</sub>H<sub>8</sub>	0.3885	1.967	0.36	
Propylene	C<sub>3</sub>H<sub>6</sub>	0.3541	1.877	0.41	
Silane	SiH<sub>4</sub>	0.3189	1.433	0.60	
Silicon Tetrachloride	SiCl<sub>4</sub>	0.1270	7.580	0.28	
Silicon Tetrafluoride	SiF<sub>4</sub>	0.1691	4.643	0.35	
Sulfur Dioxide	SO<sub>2</sub>	0.1488	2.858	0.69	
Sulfur Hexafluoride	SF<sub>6</sub>	0.1592	6.516	0.26	
Trichlorofluoromethane (Freon - 11)	CCl<sub>3</sub>F	0.1357	6.129	0.33	
Trichlorosilane	SiHCl<sub>3</sub>	0.1380	6.043	0.33	
1,1,2-Trichloro - <br>
            1,2,2-Trifluoroethane (Freon - 113)	CCl<sub>2</sub>FCClF<sub>2</sub> <i>or</i> C<sub>2</sub>Cl<sub>3</sub>F<sub>3</sub>	0.161	8.360	0.20	
Tungsten Hexafluoride	WF<sub>6</sub>	0.0810	13.28	0.25	
xenon	xe	0.0378	5.858	1.32